Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-02,1.3077751398086548,1.3077751398086548,1.3077751398086548,1.3077751398086548,1500,0.0,0.0
1996-01-03,1.316004484105266,1.316004484105266,1.2913293838500977,1.2913293838500977,3000,0.0,0.0
1996-01-05,1.3160037521575478,1.3160037521575478,1.291328665626408,1.2921429872512817,6000,0.0,0.0
1996-01-08,1.2748707910051897,1.2995458841323853,1.2748707910051897,1.2995458841323853,3000,0.0,0.0
1996-01-10,1.2419793605804441,1.2419793605804441,1.2419793605804441,1.2419793605804443,1500,0.0,0.0
1996-01-16,1.2419793701952426,1.2419793701952426,1.1926256418228147,1.192625641822815,3000,0.0,0.0
1996-01-18,1.1926254894590687,1.1926254894590687,1.1679505109786985,1.1679505109786987,3000,0.0,0.0
1996-01-19,1.2173006534576416,1.2173006534576416,1.2173006534576416,1.2173006534576416,1500,0.0,0.0
1996-01-23,1.2131873916301206,1.219356166605237,1.1844003241576935,1.2173006534576416,15000,0.0,0.0
1996-01-24,1.2173006534576416,1.2173006534576416,1.2173006534576416,1.2173006534576416,6000,0.0,0.0
1996-01-25,1.2337501049041748,1.2337501049041748,1.2337501049041748,1.2337501049041748,1500,0.0,0.0
1996-01-29,1.1926256418228147,1.1926256418228147,1.1926256418228147,1.192625641822815,1500,0.0,0.0
1996-01-30,1.2173006234555341,1.2214127085857438,1.1926256418228147,1.192625641822815,12000,0.0,0.0
1996-01-31,1.213187336921692,1.213187336921692,1.213187336921692,1.213187336921692,1500,0.0,0.0
1996-02-01,1.2501961766856198,1.2913293838500977,1.2501961766856198,1.2913293838500977,6000,0.0,0.0
1996-02-02,1.4147038459777832,1.4147038459777832,1.4147038459777832,1.4147038459777832,1500,0.0,0.0
1996-02-05,1.4147040690103945,1.4558250295347546,1.4147040690103945,1.4455478191375732,10500,0.0,0.0
1996-02-06,1.4455482346846553,1.521621286384931,1.4397866792402996,1.4558254480361938,19500,0.0,0.0
1996-02-07,1.422920823097229,1.422920823097229,1.422920823097229,1.422920823097229,1500,0.0,0.0
1996-02-08,1.4229211654689204,1.4393793885954282,1.4229211654689204,1.430323600769043,24000,0.0,0.0
1996-02-09,1.4805003358681428,1.5709712696834683,1.4805003358681428,1.562754511833191,19500,0.0,0.0
1996-02-12,1.6449960070202414,1.6449960070202414,1.603875160217285,1.6038751602172852,6000,0.0,0.0
1996-02-13,1.6038753638571546,1.6038753638571546,1.562754511833191,1.562754511833191,10500,0.0,0.0
1996-02-14,1.686129094872917,1.686129094872917,1.6162124872207642,1.6162124872207642,21000,0.0,0.0
1996-02-15,1.6121041774749754,1.6121041774749754,1.6121041774749754,1.6121041774749756,1500,0.0,0.0
1996-02-16,1.6038753532631242,1.6038753532631242,1.5627545015107749,1.5668628215789795,12000,0.0,0.0
1996-02-19,1.562754511833191,1.562754511833191,1.562754511833191,1.562754511833191,19500,0.0,0.0
1996-02-20,1.5627542810530262,1.5792001485824585,1.5792001485824585,1.5792001485824585,7500,0.0,0.0
