Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-10-29,137.03239514819535,150.67954133713826,124.53495675325685,126.17074584960938,3747220,0.0,0.0
2010-11-01,126.37642264589422,130.63882051377067,125.81558907867263,126.46990203857422,834600,0.0,0.0
2010-11-02,126.18946479540439,128.04959611482874,126.00252029274219,126.09598541259766,1444980,0.0,0.0
2010-11-03,129.92841049124198,129.92841049124198,126.18946342674579,126.26424407958984,1180120,0.0,0.0
2010-11-04,127.12420692589728,127.12420692589728,124.50694098953844,125.89970397949219,2850180,0.0,0.0
2010-11-08,126.22684397844942,127.0868143366724,125.06777954101564,125.06777954101562,1890180,0.0,0.0
2010-11-09,125.2640624108816,126.00251240515554,124.88083119644682,125.07711791992188,2472780,0.0,0.0
2010-11-10,125.34819433888516,125.59122074072408,125.08646920984332,125.25471496582031,1034100,0.0,0.0
2010-11-11,126.18011486911334,128.04958830765622,125.08647461911981,126.87181091308594,3755580,0.0,0.0
2010-11-12,127.12421919956894,128.9843507769317,126.21752325982987,128.06829833984375,1274960,0.0,0.0
2010-11-15,130.8538059697067,133.1065107524972,130.20883531434941,131.4239959716797,1191520,0.0,0.0
2010-11-16,132.73261378131775,132.73261378131775,130.11534812177212,131.5268096923828,1188740,0.0,0.0
2010-11-18,133.10651046045692,133.10651046045692,127.12420083235033,127.8532943725586,625840,0.0,0.0
2010-11-19,130.84442306785317,130.84442306785317,128.0776107657631,128.5543212890625,1002720,0.0,0.0
2010-11-22,126.7502913537908,130.8631267758523,126.7502913537908,129.68536376953125,704620,0.0,0.0
2010-11-23,129.55453087208315,129.92841990042868,117.97313494014449,124.97431182861328,872560,0.0,0.0
2010-11-24,124.43635026238013,124.43635026238013,99.88590240478516,99.88590240478516,4846740,0.125,0.0
2010-11-25,79.91059112548828,79.91059112548828,79.91059112548828,79.91059112548828,152500,0.0,0.0
2010-11-26,71.92046356201172,71.92046356201172,71.92046356201172,71.92046356201172,11280,0.0,0.0
2010-11-29,64.7349624633789,64.7349624633789,64.7349624633789,64.7349624633789,7540,0.0,0.0
2010-11-30,58.26053237915038,58.26053237915038,58.26053237915038,58.26053237915039,59260,0.0,0.0
2010-12-01,55.350776672363274,55.350776672363274,55.350776672363274,55.35077667236328,38420,0.0,0.0
2010-12-02,52.59072494506836,52.59072494506836,52.59072494506836,52.59072494506836,28800,0.0,0.0
2010-12-03,49.9616584777832,49.9616584777832,49.9616584777832,49.9616584777832,34700,0.0,0.0
2010-12-06,47.46356964111328,47.46356964111328,47.46356964111328,47.46356964111328,16040,0.0,0.0
2010-12-07,45.09647750854492,45.09647750854492,45.09647750854492,45.09647750854492,4540,0.0,0.0
2010-12-08,42.8416519165039,42.8416519165039,42.8416519165039,42.841651916503906,3100,0.0,0.0
2010-12-09,40.6991081237793,40.6991081237793,40.6991081237793,40.6991081237793,760,0.0,0.0
2010-12-10,38.668827056884766,38.668827056884766,38.668827056884766,38.668827056884766,2220,0.0,0.0
2010-12-13,36.7414665222168,36.7414665222168,36.7414665222168,36.7414665222168,3020,0.0,0.0
2010-12-14,34.90766525268555,34.90766525268555,34.90766525268555,34.90766525268555,6260,0.0,0.0
2010-12-15,33.16743087768555,33.16743087768555,33.16743087768555,33.16743087768555,32260,0.0,0.0
2010-12-16,31.51140028763675,34.832820892333984,31.51140028763675,34.832820892333984,4011000,0.0,0.0
2010-12-20,35.17899217603825,36.37657736398502,33.09257888793945,33.09257888793945,367960,0.0,0.0
2010-12-21,31.445905453286517,32.727692305438,31.445905453286517,31.492685317993164,1353820,0.0,0.0
2010-12-22,29.948923679790056,33.07386635100075,29.92085647583008,29.920856475830078,4196040,0.0,0.0
2010-12-23,28.42387962341309,29.181726304296348,28.42387962341309,28.423879623413086,519120,0.0,0.0
2010-12-24,27.00174903869629,28.442589851560577,27.00174903869629,27.00174903869629,280140,0.0,2.0
2010-12-27,25.654468536376953,27.806374367765844,25.654468536376953,25.654468536376953,456170,0.0,0.0
2010-12-28,25.074385416443356,26.19711983758322,24.372676849365234,24.372676849365234,262460,0.0,0.0
2010-12-29,23.511920892055684,23.577415209109812,23.156389236450195,23.156389236450195,143085,0.0,0.0
2010-12-30,22.005585575477408,24.316545618144037,22.005585575477408,24.204273223876953,1253865,0.0,0.0
2010-12-31,24.690787155178057,25.420564774741447,23.764531975272984,24.503665924072266,1353085,0.0,0.0
2011-01-03,24.19491559010186,25.074389174450175,23.27801490211834,23.437068939208984,554005,0.0,0.0
2011-01-04,23.01604609386199,23.86745252104324,22.548240286200315,22.81956672668457,303095,0.0,0.0
2011-01-05,23.29672588685714,23.96101097678734,21.678118427527107,22.295621871948242,1160780,0.0,0.0
2011-01-06,22.79149729951368,23.01604385116685,21.809104128426533,22.33304786682129,388520,0.0,0.0
2011-01-07,22.426609278369487,22.426609278369487,21.21967124938965,21.21967124938965,265655,0.0,0.0
2011-01-10,21.509709014750282,21.509709014750282,20.162427902221683,20.16242790222168,97595,0.0,0.0
2011-01-11,19.32037950070817,19.647843922998995,19.161325454711914,19.161325454711914,149380,0.0,0.0
2011-01-12,18.347343292151812,19.26424219413707,18.20700013029622,18.97420310974121,407320,0.0,0.0
2011-01-13,19.08647578459553,19.928525845695525,18.712231511277473,19.572994232177734,758180,0.0,0.0
2011-01-14,19.83496555723864,20.134360967462445,18.72158731399863,19.31102180480957,239250,0.0,0.0
2011-01-17,20.209211443837816,20.209211443837816,18.44090426024588,18.646739959716797,271015,0.0,0.0
2011-01-18,18.5251069902303,19.039694386065054,18.356698419204868,18.6748046875,143620,0.0,0.0
2011-01-19,17.80468610778937,19.367157263098573,17.80468610778937,18.759008407592773,420190,0.0,0.0
2011-01-20,18.356699416307052,18.96484656756582,18.337986756997573,18.73094367980957,92300,0.0,0.0
2011-01-21,18.721586768996804,19.675910949707028,18.712230439632506,19.67591094970703,69470,0.0,0.0
2011-01-24,20.209208438539562,20.66765785217285,20.209208438539562,20.66765785217285,12975,0.0,0.0
2011-01-25,21.706188201904293,21.706188201904293,21.706188201904293,21.706188201904297,10090,0.0,0.0
2011-01-27,22.79149627685547,22.79149627685547,22.79149627685547,22.79149627685547,159650,0.0,0.0
2011-01-28,23.93293952941894,23.93293952941894,23.40899764533452,23.932939529418945,304300,0.0,0.0
2011-01-31,24.756277882261298,24.756277882261298,22.89441132806525,23.137670516967773,325985,0.0,0.0
2011-02-01,23.390289094508123,23.914231070554624,22.080433262123158,23.25930404663086,172605,0.0,0.0
2011-02-02,23.539985099474038,24.026503505742454,23.01604316132045,23.792600631713867,134070,0.0,0.0
2011-02-03,23.95165619251567,24.803062565784064,23.57741192699178,24.578516006469727,97485,0.0,0.0
2011-02-04,25.149237549944885,25.149237549944885,23.352863311767578,23.352863311767578,62120,0.0,0.0
2011-02-07,23.39029093655077,23.39029093655077,22.192707398165844,22.2114200592041,357795,0.0,0.0
