Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01,2.4977044411824926e-06,2.4870633574225867e-06,2.4629391646158183e-06,2.4629391646158183e-06,66632.0,0.0,0.0
1996-01-02,2.4629392783131207e-06,2.5260895340091257e-06,2.4302988219450983e-06,2.504090161892236e-06,125426.0,0.0,0.0
1996-01-03,2.4693247424402763e-06,2.476416941535762e-06,2.4480372703954924e-06,2.4537109766242793e-06,94069.0,0.0,0.0
1996-01-04,2.453710744312037e-06,2.4373903859879482e-06,2.412554296985775e-06,2.416102915958618e-06,121506.0,0.0,0.0
1996-01-05,2.416103235967026e-06,2.4125546165241754e-06,2.355789702101444e-06,2.362887471463182e-06,121506.0,0.0,0.0
1996-01-08,2.362887584853454e-06,2.3416001109830935e-06,2.2954762783912e-06,2.2976066702540265e-06,78391.0,0.0,0.0
1996-01-09,2.297606079870235e-06,2.313214273015976e-06,2.2706393362151433e-06,2.2990245724940905e-06,125426.0,0.0,0.0
1996-01-10,2.299025180230549e-06,2.3274104240130016e-06,2.270639936448096e-06,2.28199291996134e-06,152863.0,0.0,0.0
1996-01-11,2.2819926736650012e-06,2.2848352293545455e-06,2.2458089051507157e-06,2.2564499886357225e-06,411553.0,0.0,0.0
1996-01-12,2.2564496756350545e-06,2.2706393764081145e-06,2.2507759702771623e-06,2.252194462926127e-06,109748.0,0.0,0.0
1996-01-15,2.2138750223019756e-06,2.2770255380368896e-06,2.2138750223019756e-06,2.2713518319505965e-06,403714.0,0.0,0.0
1996-01-16,2.271352462481479e-06,2.2954766611126937e-06,2.27064029825023e-06,2.2805747903476004e-06,215576.0,0.0,0.0
1996-01-17,2.2706397673540274e-06,2.3770771295659586e-06,2.2706397673540274e-06,2.328116579519701e-06,1403201.0,0.0,0.0
1996-01-18,2.3281160086251144e-06,2.3415993797064654e-06,2.285541074180457e-06,2.301154836459318e-06,431151.0,0.0,0.0
1996-01-19,2.3011551996147912e-06,2.3061225766869323e-06,2.2990248080810747e-06,2.2997367068455787e-06,623210.0,0.0,0.0
1996-01-22,2.2997363439139642e-06,2.303279657659922e-06,2.299024445261808e-06,2.301154836459318e-06,470347.0,0.0,0.0
1996-01-23,2.301154836459318e-06,2.3096652612555458e-06,2.299024445261808e-06,2.301154836459318e-06,705520.0,0.0,0.0
1996-01-24,2.2997364711856442e-06,2.313214273015976e-06,2.2990245724940905e-06,2.2990245724940905e-06,799590.0,0.0,0.0
1996-01-25,2.2990245724940905e-06,2.2997364711856442e-06,2.2990245724940905e-06,2.2990245724940905e-06,560497.0,0.0,0.0
1996-01-29,2.299025090372673e-06,2.3061228598500482e-06,2.299025090372673e-06,2.3047043669066625e-06,1309132.0,0.0,0.0
1996-01-30,2.3047040850708997e-06,2.3132145112144534e-06,2.270639570029554e-06,2.272769961564336e-06,470347.0,0.0,0.0
1996-01-31,2.272770059543669e-06,2.2919271394271997e-06,2.2706396679170452e-06,2.2713518319505965e-06,352760.0,0.0,0.0
1996-02-01,2.2713520525993848e-06,2.3132148356528713e-06,2.2706398884966508e-06,2.2741887732991017e-06,329243.0,0.0,0.0
1996-02-02,2.2741890157372853e-06,2.2990253767655082e-06,2.2706401305565083e-06,2.27206419367576e-06,160702.0,0.0,0.0
1996-02-05,2.272063892243894e-06,2.4267499098963143e-06,2.284835368153375e-06,2.2961880858929362e-06,548738.0,0.0,0.0
1996-02-06,2.2961882573763327e-06,2.369985437241127e-06,2.2848355387889304e-06,2.287672259626561e-06,462508.0,0.0,0.0
1996-02-07,2.2876715919819544e-06,2.3274098087730382e-06,2.2706393362151433e-06,2.2990245724940905e-06,235173.0,0.0,0.0
1996-02-08,2.2990248114477173e-06,2.455129304356975e-06,2.2990248114477173e-06,2.381337708357023e-06,1038683.0,0.0,0.0
1996-02-09,2.381337437442901e-06,2.8383034524893536e-06,2.4267493590451113e-06,2.7396702080295654e-06,1802996.0,0.0,0.0
1996-02-12,2.739670879124939e-06,2.944741514773708e-06,2.6538143914038637e-06,2.810630803651293e-06,3088611.0,0.0,0.0
1996-02-13,2.8106308890840646e-06,2.8099189902034857e-06,2.718383488348073e-06,2.7737296477425843e-06,1850031.0,0.0,0.0
1996-02-14,2.7737293496098966e-06,2.948284602271172e-06,2.767343744651713e-06,2.8354613732517464e-06,2339976.0,0.0,0.0
1996-02-15,2.8354611322405195e-06,2.8170162177378285e-06,2.7119970954511333e-06,2.7666371806844836e-06,2477160.0,0.0,0.0
1996-02-16,2.766637420409321e-06,2.8035330878472585e-06,2.6609063902176463e-06,2.7950168259849306e-06,4605479.0,0.0,0.0
1996-02-19,2.795017094072593e-06,2.7389643411141293e-06,2.6715532999810552e-06,2.695677494557458e-06,1081798.0,0.0,0.0
1996-02-20,2.7141279171710083e-06,2.730448011192522e-06,2.570082730414799e-06,2.6424611405673204e-06,1795157.0,0.0,0.0
1996-02-22,2.642461396536119e-06,2.7815392195365226e-06,2.639619105873429e-06,2.7581213544181082e-06,1740283.0,0.0,0.0
1996-02-23,2.758121028517324e-06,2.9092581456479035e-06,2.796435186999339e-06,2.864558382498217e-06,2308619.0,0.0,0.0
1996-02-26,2.8645589370183015e-06,2.948996937776814e-06,2.83901067816616e-06,2.9184868708398426e-06,2226308.0,0.0,0.0
1996-02-27,2.918486586906499e-06,2.895068722300203e-06,2.80991883091626e-06,2.8723627565341303e-06,1191545.0,0.0,0.0
1996-02-28,2.87236345655127e-06,2.88087972090763e-06,2.8099195157153292e-06,2.842559979399084e-06,732957.0,0.0,0.0
1996-02-29,2.842558439241356e-06,2.8134668768653068e-06,2.724768127243226e-06,2.7538596896192757e-06,1077878.0,0.0,0.0
1996-03-01,2.753860837387106e-06,2.8666838202885166e-06,2.7254811618108313e-06,2.8446900159906363e-06,1203304.0,0.0,0.0
1996-03-04,2.844689780504922e-06,2.8801669581094186e-06,2.8028211621520814e-06,2.843977881639148e-06,1136672.0,0.0,0.0
1996-03-06,2.8439781324629735e-06,2.824108884833563e-06,2.802821409346101e-06,2.8184351776872063e-06,172461.0,0.0,0.0
1996-03-07,2.818434528515546e-06,2.845395704939381e-06,2.7957288303998503e-06,2.8383037715684623e-06,979889.0,0.0,0.0
1996-03-08,2.838304343288799e-06,2.8517821492166616e-06,2.8042453913977677e-06,2.8248209673620295e-06,658486.0,0.0,0.0
1996-03-11,2.824820879627704e-06,2.8028212412927007e-06,2.6963894402359693e-06,2.7446380954643246e-06,337082.0,0.0,0.0
1996-03-12,2.7446379286256413e-06,2.76663756562335e-06,2.641749448732449e-06,2.668004299266613e-06,364519.0,0.0,0.0
1996-03-13,2.668004431203289e-06,2.7247690833771477e-06,2.668716330081094e-06,2.7212201985093998e-06,180300.0,0.0,0.0
1996-03-14,2.721219459820243e-06,2.8084997238794784e-06,2.7389636141042082e-06,2.7396702080295654e-06,270449.0,0.0,0.0
1996-03-15,2.7396707865080956e-06,2.7673438644286805e-06,2.7268993108009454e-06,2.7268993108009454e-06,297886.0,0.0,0.0
1996-03-18,2.7247683934761106e-06,2.75882733529965e-06,2.6892912242547216e-06,2.7474743546918035e-06,576175.0,0.0,0.0
1996-03-19,2.74747478749198e-06,2.788631238499156e-06,2.697095745757525e-06,2.765925273706671e-06,909337.0,0.0,0.0
1996-03-21,2.765924896514054e-06,2.7815386601189535e-06,2.7531536882381788e-06,2.7559904083318543e-06,215576.0,0.0,0.0
1996-03-22,2.755990768870041e-06,2.7815390239993576e-06,2.754572276018651e-06,2.7815390239993576e-06,239093.0,0.0,0.0
1996-03-25,2.7815388243299687e-06,2.7815388243299687e-06,2.753153850773458e-06,2.7772780413215514e-06,391956.0,0.0,0.0
1996-03-26,2.777278741053529e-06,2.8383044470285845e-06,2.767344249781854e-06,2.785795004456304e-06,525221.0,0.0,0.0
1996-03-27,2.7857946915457234e-06,2.8446897336264626e-06,2.803533280055652e-06,2.8397223559295526e-06,489945.0,0.0,0.0
1996-03-28,2.839722575234436e-06,2.852494052271788e-06,2.83830434741531e-06,2.8390106763254153e-06,195978.0,0.0,0.0
1996-03-29,2.839010500218711e-06,2.8524938753286963e-06,2.7815392549726914e-06,2.7921803393837763e-06,148943.0,0.0,0.0
1996-04-01,2.792180004163352e-06,2.8312060618402126e-06,2.767343648759196e-06,2.8198530799272703e-06,141104.0,0.0,0.0
1996-04-02,2.8198529391328744e-06,2.8099184505148374e-06,2.7751476077327156e-06,2.783663603622699e-06,278289.0,0.0,0.0
1996-04-03,2.8312061409214113e-06,2.8383039098739666e-06,2.7971471942312508e-06,2.8099186692998046e-06,329243.0,0.0,0.0
1996-04-04,2.809918632629958e-06,2.7694740815523292e-06,2.639618861879541e-06,2.7318665161146782e-06,783911.0,0.0,0.0
1996-04-08,2.731867312864579e-06,2.905710448748377e-06,2.7354161983295765e-06,2.8226909307704773e-06,779992.0,0.0,0.0
1996-04-09,2.8226899245889826e-06,2.838303688878877e-06,2.7815387821484208e-06,2.783663603622699e-06,321404.0,0.0,0.0
1996-04-10,2.7836646734703716e-06,2.795729823435299e-06,2.7389648948883405e-06,2.7389648948883405e-06,152863.0,0.0,0.0
1996-04-11,2.738964875517506e-06,2.737541077492671e-06,2.7056125128809812e-06,2.712710283958586e-06,152863.0,0.0,0.0
1996-04-12,2.7127094531069614e-06,2.7354154174107534e-06,2.7048997854088926e-06,2.719801386774634e-06,148943.0,0.0,0.0
1996-04-15,2.719800890883549e-06,2.7673432024460327e-06,2.714127451079028e-06,2.749604618657031e-06,211656.0,0.0,0.0
1996-04-16,2.749604708407965e-06,2.746055824487333e-06,2.7048993805264496e-06,2.7105786557513056e-06,352760.0,0.0,0.0
