Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-04-02,1001.4557071190593,1025.6995582207146,992.8416502950294,1020.59326171875,176365,0.0,0
2018-04-03,1013.2667428912105,1018.5950517933553,1000.2567669741957,1002.2548828125,57565,0.0,0
2018-04-04,1003.4982507704192,1012.3787662639627,990.1774775301038,990.9767456054688,81682,0.0,0
2018-04-05,996.3937306078652,1004.6082065509336,985.2930874415565,989.244873046875,74994,0.0,0
2018-04-06,979.9648283970408,993.5963972153208,976.9010940897235,979.3875732421875,73013,0.0,0
2018-04-09,977.3006506714338,987.5132426593678,977.3006506714338,980.8084106445312,59514,0.0,0
2018-04-10,985.5595558868571,985.7371228173689,969.7966424363992,978.899169921875,53653,0.0,0
2018-04-11,978.6327831918765,982.1849893014659,972.416422500095,974.458984375,39956,0.0,0
2018-04-12,973.3044758214473,975.1250248178584,959.1844348288586,964.5571899414062,54719,0.0,0
2018-04-13,990.1774359115941,1021.2592388325858,981.3857042615684,997.3262939453125,144882,0.0,0
2018-04-16,999.0580067393361,1030.0510279182404,998.1699551777899,1019.3944091796875,135266,0.0,0
2018-04-17,1027.4755800283008,1033.6919404951961,1014.1548075992389,1018.062255859375,61793,0.0,0
2018-04-18,1024.8114043919386,1025.6994558688812,999.0579115605987,1003.4981689453125,41959,0.0,0
2018-04-19,1010.6025569238859,1024.278571027174,1002.6988772845743,1013.3111572265625,50624,0.0,0
2018-04-20,1013.4443056575686,1017.6182126565806,992.8415546825738,999.54638671875,34939,0.0,0
2018-04-23,1005.2741805060851,1020.3710542416006,996.7044628517474,1004.652587890625,39907,0.0,0
2018-04-24,1010.5581606981463,1016.3749413829352,1003.4981946375857,1004.2086791992188,30039,0.0,0
2018-04-25,1004.3861873929329,1017.6181756451892,997.1485464129156,999.4574584960938,34914,0.0,0
2018-04-26,1000.8340318267213,1010.6025982420664,999.0579288421131,1003.8977661132812,16390,0.0,0
2018-04-27,1005.8515637754667,1007.894017204196,996.3937935196692,999.7684326171875,16572,0.0,0
2018-04-30,1007.4056125198349,1007.4056125198349,993.7295981564869,998.4806518554688,18615,0.0,0
2018-05-02,993.7295970304788,1005.2298202293989,986.8471981234312,989.5113525390625,18861,0.0,0
2018-05-03,989.3338060873011,990.17741164116,967.2656398305337,972.4163818359375,19044,0.0,0
2018-05-04,981.2968690593214,981.2968690593214,967.9760970811404,971.1287231445312,12282,0.0,0
2018-05-07,968.4202285974885,996.4382987473232,960.9162362586486,984.0943603515625,21116,0.0,0
2018-05-08,981.474426549413,993.6407965486185,975.9685508799487,980.7196044921875,12620,0.0,0
2018-05-09,976.8565751631419,980.3643349575233,967.976060843477,971.039794921875,9761,0.0,0
2018-05-10,967.976138856197,969.6190124567971,962.6478298349703,964.0243530273438,12712,0.0,0
2018-05-11,965.7560428864401,968.8642232543506,951.2364219915759,961.9373779296875,16119,0.0,0
2018-05-14,960.8716825707005,966.1555454114889,944.8867562432766,947.0624389648438,17672,0.0,0
2018-05-15,954.6553730081811,962.3370402486803,933.7861625284673,937.2051391601562,15397,0.0,0
2018-05-16,936.4502937261964,939.4696904651486,926.2377016182293,927.3922119140625,103139,0.0,0
2018-05-17,928.90188446742,933.0313456921257,917.3127688375565,923.3515625,9501,0.0,0
2018-05-18,927.1258569357415,927.1258569357415,914.7375806575457,917.2240600585938,11552,0.0,0
2018-05-21,916.4246764954923,916.4246764954923,896.0439385009906,907.0113525390625,25664,0.0,0
2018-05-22,910.2527967503341,913.805002786433,898.0420885012443,907.5442504882812,10808,0.0,0
2018-05-23,905.8125875504269,909.3647937761149,893.3798657605191,901.9495849609375,11985,0.0,0
2018-05-24,901.3722823850875,901.5055117924934,892.5361590227119,895.8219604492188,10278,0.0,0
2018-05-25,895.1559396770349,910.2528156438103,892.9802025942915,908.2546997070312,13915,0.0,0
2018-05-28,905.812472310644,936.8942728311073,905.812472310644,925.660400390625,22850,0.0,0
2018-05-29,919.1333586506731,933.3421835187028,919.1333586506731,931.2996215820312,8519,0.0,0
2018-05-30,926.2376814643787,975.0805122223278,897.8200344779357,960.29443359375,84558,0.0,0
2018-05-31,963.5358747693211,975.9241497973229,929.3458921162162,938.7592163085938,342352,0.0,0
2018-06-01,932.4540116073775,932.4984575412456,912.5173001496589,914.5597534179688,15574,0.0,0
2018-06-04,923.5735567571829,923.6180026939165,901.3722693351352,904.5248413085938,10423,0.0,0
2018-06-05,904.9245221599842,904.9689138966537,879.1266356807835,882.501220703125,21152,0.0,0
2018-06-06,879.17100680148,891.914524461546,878.2829552794583,885.298583984375,9344,0.0,0
2018-06-07,884.4992835215701,896.9320043742829,884.4992835215701,887.65185546875,10757,0.0,0
2018-06-08,884.0996586379382,887.1190554142842,876.9508549142992,879.5706176757812,13521,0.0,0
2018-06-11,879.6594307036012,883.3448662277731,873.8427040324756,876.5956420898438,14867,0.0,0
2018-06-12,876.9508199238809,880.9470515083441,860.2554632559286,864.7401123046875,23112,0.0,0
2018-06-13,859.6338953858258,870.2461221868986,855.6376634341354,856.4813232421875,19326,0.0,0
2018-06-14,852.5294497301998,895.1559222167097,842.805274853742,864.1629028320312,206279,0.0,0
2018-06-15,861.4543498488789,865.8502156302433,852.5294430820857,860.077880859375,13532,0.0,0
2018-06-18,857.857729063722,860.077857762127,839.7859031396489,842.6276245117188,16102,0.0,0
2018-06-19,841.0291363562841,844.4925587806603,824.866588713129,826.0654907226562,17843,0.0,0
2018-06-20,826.7759636277699,831.1718294843085,819.6715514805925,821.5364379882812,15275,0.0,0
2018-06-21,821.5364687828462,823.2237884119937,809.0149635850338,809.9030151367188,17703,0.0,0
2018-06-22,809.1036884875095,817.851028159798,795.694132708742,812.0343017578125,27953,0.0,0
2018-06-25,808.1268628932263,811.6346771495539,797.470244921008,800.1343994140625,10004,0.0,0
2018-06-26,795.6941040815768,796.5821555370251,785.9699298039474,787.7460327148438,18084,0.0,0
2018-06-27,781.4853374197428,786.280837307582,763.7243070238395,768.4309692382812,27245,0.0,0
2018-06-28,763.768696253564,763.768696253564,745.9632741805602,749.4266967773438,22852,0.0,0
2018-06-29,749.4710935133267,754.8437943858355,748.6274337261874,749.8707275390625,13304,0.0,0
2018-07-02,749.6930262999622,780.5528134205701,739.8800688617943,762.3921508789062,19490,0.0,0
2018-07-03,761.0601056251232,762.3921828228335,747.7837253808058,749.8262329101562,9325,0.0,0
2018-07-04,746.9400897192481,751.9576023399278,741.5229972882665,743.0770874023438,10745,0.0,0
2018-07-05,741.5229395622216,745.8299672907119,733.5304767405929,735.3065795898438,8342,0.0,0
2018-07-06,732.6424632352941,742.233408277175,731.7544117647059,735.97265625,13966,0.0,0
2018-07-09,737.0827302226761,739.3916423954413,728.2466071343538,730.4667358398438,9711,0.0,0
2018-07-10,728.2022673902702,760.0833395581805,728.2022673902702,753.156494140625,21632,0.0,0
2018-07-11,752.4016146847964,754.799364515707,742.0114015524244,745.385986328125,9271,0.0,0
2018-07-12,745.3860001559317,753.9113270237286,735.306637375271,738.5036010742188,7686,0.0,0
2018-07-13,734.462937796534,746.7180369145782,726.4704747801105,734.196533203125,13018,0.0,0
2018-07-16,727.4917976657305,731.576812873697,721.0978160426142,722.5186767578125,9231,0.0,0
2018-07-17,720.2097997224349,730.5556218556203,717.5456450995405,724.8720703125,19543,0.0,0
2018-07-18,721.8970987107028,723.6732017418991,711.8176814872456,714.1266479492188,9934,0.0,0
2018-07-19,713.9934447112418,718.4337024519832,702.9371920963223,704.62451171875,12861,0.0,0
2018-07-20,705.06847467719,705.06847467719,692.6801458437433,697.164794921875,18485,0.0,0
2018-07-23,692.7245494431502,696.9871857270435,683.8440346007219,686.6414184570312,14579,0.0,0
2018-07-24,687.3518174188965,699.4292953721869,685.5757145315092,694.6338500976562,12350,0.0,0
2018-07-25,695.3443484723349,708.7539049036911,695.3443484723349,697.964111328125,11238,0.0,0
2018-07-26,694.456218620511,706.0008872165042,688.239858607284,694.5006103515625,13927,0.0,0
2018-07-27,691.7921064289824,707.0222110691785,691.7921064289824,700.9390258789062,12994,0.0,0
2018-07-30,702.4487372915132,802.6209357639141,702.4487372915132,790.54345703125,138791,0.0,0
2018-07-31,798.3583224392991,867.5375580446288,796.5822193860415,860.1666870117188,301818,0.0,0
2018-08-01,868.5143824537147,879.9702686884973,851.0641484872731,870.24609375,116555,0.0,0
2018-08-02,863.1416619474393,868.4255791864779,833.7027331887684,850.3536987304688,31952,0.0,0
2018-08-03,852.5294995338926,866.9159456790003,843.6489839137479,855.0604248046875,18142,0.0,0
2018-08-06,863.6300890571022,863.6300890571022,838.1873917448091,848.6664428710938,20839,0.0,0
2018-08-07,839.2087057379882,890.1828858415378,839.2087057379882,864.2517700195312,59419,0.0,0
2018-08-08,872.0222353207,873.8427301680771,857.9021939144769,863.7633666992188,15809,0.0,0
2018-08-09,856.9697152101148,899.5961880910324,852.6626870270507,875.7075805664062,52752,0.0,0
2018-08-10,875.6188154493179,877.3949185232516,860.3443181730152,867.44873046875,15756,0.0,0
2018-08-13,849.732022080864,887.1634129884999,849.732022080864,873.7094116210938,72261,0.0,0
2018-08-14,872.9546195662339,872.9546195662339,853.5062701452072,854.9271850585938,10861,0.0,0
2018-08-16,854.3055139717969,858.4793667204472,831.2605674893622,835.6564331054688,10327,0.0,0
2018-08-17,844.5369731325915,852.2630319922579,821.7584305674712,830.727783203125,12414,0.0,0
2018-08-20,822.38008423089,832.0154755682722,819.7159297195633,820.5151977539062,11923,0.0,0
2018-08-21,819.6715019830251,822.246872911803,808.2156164065437,811.767822265625,8049,0.0,0
2018-08-23,817.0073301254665,821.2699662247798,799.4683140711427,807.549560546875,12296,0.0,0
2018-08-24,807.9048614229594,812.4783483815393,791.2538956063279,794.9393310546875,8489,0.0,0
2018-08-27,821.4476655859754,828.418848418381,812.4783668102524,817.09619140625,18614,0.0,0
2018-08-28,817.0961501685503,817.0961501685503,794.8060795623278,797.4258422851562,13043,0.0,0
2018-08-29,799.2907798973715,806.0400041410364,792.141975821518,796.537841796875,6930,0.0,0
2018-08-30,792.1862930723263,801.1111993938113,785.925541127545,796.2713623046875,7049,0.0,0
2018-08-31,792.674748981465,799.246351777021,789.0781512389409,792.3639526367188,7753,0.0,0
2018-09-03,799.2463766338116,799.2463766338116,785.9256036899147,795.3389282226562,10186,0.0,0
2018-09-04,794.8504405343609,799.2463060581526,786.0587636891368,788.36767578125,7890,0.0,0
2018-09-05,783.2614529795687,790.232635840448,765.5004222997599,771.4503784179688,8304,0.0,0
2018-09-06,771.7167286623492,785.8811604719403,759.3727915286931,768.3865356445312,9746,0.0,0
2018-09-07,768.1645712366333,833.7027631213206,759.3728394340199,818.7835083007812,108865,0.0,0
2018-09-10,818.7834905365498,839.2530669594911,818.7834905365498,826.2875366210938,32206,0.0,0
2018-09-11,832.6370792324767,832.6370792324767,808.1268790861924,809.6809692382812,12173,0.0,0
2018-09-12,808.1268596122547,817.0073745530487,799.2463446714607,803.3313598632812,7726,0.0,0
