Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-02,150.36418132522067,263.51661280816614,150.36418132522067,231.96263122558594,11013161,0.0,0
2007-01-03,233.1398367509018,240.3549525699521,232.53245186607097,234.9628448486328,3836636,0.0,0
2007-01-04,236.17759579147545,238.1526768718654,231.69699197022413,233.02622985839844,1817675,0.0,0
2007-01-05,232.38038507655887,233.89927405030625,227.06516711685697,229.22901916503906,1515090,0.0,0
2007-01-08,228.58403988155874,230.02689229245354,209.71249047065535,211.6866912841797,3498653,0.0,0
2007-01-09,213.1671324934273,217.799809107562,202.0796246009845,207.0164337158203,4516415,0.0,0
2007-01-10,207.16849987147873,211.87634631562344,194.94140483068628,201.92845153808594,8763559,0.0,0
2007-01-11,201.09296215391444,208.6489218295583,200.5616137302054,204.3579559326172,2102657,0.0,0
2007-01-12,205.80079988145508,216.20488589026942,205.80079988145508,211.0408477783203,4094486,0.0,0
2007-01-15,213.8129465345379,227.74856685512563,211.3449755486183,226.53294372558594,5066362,0.0,0
2007-01-16,228.5840668092621,234.58270641163512,222.54611547483373,228.5456085205078,3983211,0.0,0
2007-01-17,230.1020480619038,235.41814574477644,227.36841615720863,233.21583557128906,2672469,0.0,0
2007-01-18,232.45640762268206,237.54439600957235,222.5085135467638,227.33084106445312,5629143,0.0,0
2007-01-19,229.34262016222655,233.0262144083869,220.23019364504108,223.4575958251953,3209796,0.0,0
2007-01-22,226.91312875016436,231.54492550941615,222.5461127718526,229.5707244873047,2603012,0.0,0
2007-01-23,229.30505271622735,234.96284806314975,226.3808894399604,232.34280395507812,2661827,0.0,0
2007-01-24,232.45640610301047,252.58118360455524,231.62093854612016,250.2652587890625,8185343,0.0,0
2007-01-25,253.30214289827572,263.5166040146999,252.8844091421325,259.0744323730469,4630885,0.0,0
2007-01-29,261.9977370899855,294.6528487106776,259.8338851203959,288.235595703125,11643452,0.0,0
2007-01-31,289.29917194134293,293.1339590654606,275.2875277158234,277.98358154296875,5032828,0.0,0
2007-02-01,281.74231949720104,297.46250301554403,278.1732200790185,293.6277160644531,5759462,0.0,0
2007-02-02,297.57612845965724,323.3586748197612,296.2853489289174,318.9156494140625,8275975,0.0,0
2007-02-05,325.7882083211742,352.97605735026815,325.7882083211742,342.3814392089844,9737793,0.0,0
2007-02-06,348.07767548393247,358.4433302749082,326.6621177909815,335.1296081542969,8847418,0.0,0
2007-02-07,340.2936104131138,346.97652386278367,335.66093417009074,340.52081298828125,3735036,0.0,0
2007-02-08,344.77422914843936,346.6723935341665,335.5088762485923,340.9770202636719,2621813,0.0,0
2007-02-09,335.7370003524943,341.50841079099956,318.9917223589963,322.06793212890625,3871475,0.0,0
2007-02-12,325.21925008757216,325.21925008757216,292.6025982185576,301.6014099121094,4397061,0.0,0
2007-02-13,299.9689342174287,317.3967509880961,288.69092242842754,310.220947265625,4688343,0.0,0
2007-02-14,309.0053317410826,309.0053317410826,292.90587223576665,296.6270446777344,3772964,0.0,0
