Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-03-18,65.92790222167969,65.92790222167969,65.92790222167969,65.92790222167969,0,0,0
2009-03-27,73.49089813232422,73.49089813232422,73.49089813232422,73.49089813232422,0,0,0
2009-03-30,71.00550079345703,71.00550079345703,71.00550079345703,71.00550079345703,0,0,0
2009-03-31,72.16089630126953,72.16089630126953,72.16089630126953,72.16089630126953,0,0,0
2009-04-01,0.0,72.69999694824219,63.5,71.70999908447266,11009,0,0
2009-04-02,0.0,76.0,74.5,75.5,1996,0,0
2009-04-06,0.0,78.5,76.0,76.0,1357,0,0
2009-04-08,0.0,78.0,74.5,78.0,1675,0,0
2009-04-09,0.0,80.9000015258789,78.5,80.5,877,0,0
2009-04-13,0.0,80.80000305175781,79.4000015258789,79.4000015258789,870,0,0
2009-04-15,0.0,82.0,74.0999984741211,79.18000030517578,1358,0,0
2009-04-16,0.0,82.5,79.5,79.5,950,0,0
2009-04-17,0.0,82.5,79.69999694824219,80.19999694824219,822,0,0
2009-04-20,0.0,80.19999694824219,80.19999694824219,80.19999694824219,2,0,0
2009-04-21,0.0,80.19999694824219,79.0,79.0,160,0,0
2009-04-22,0.0,79.0,79.0,79.0,5,0,0
2009-04-23,0.0,81.0,78.0,81.0,182,0,0
2009-04-24,0.0,82.0,80.69999694824219,82.0,573,0,0
2009-04-27,0.0,82.0,81.5,81.5,456,0,0
2009-04-28,0.0,81.69999694824219,79.9000015258789,79.9000015258789,2084,0,0
2009-04-29,0.0,83.0,72.0,83.0,555,0,0
2009-05-04,0.0,86.94999694824219,85.5999984741211,86.5999984741211,937,0,0
2009-05-05,0.0,88.0,86.80000305175781,88.0,259,0,0
2009-05-06,0.0,88.0,86.5,87.5,418,0,0
2009-05-07,0.0,87.9000015258789,86.5,87.75,369,0,0
2009-05-08,0.0,88.5,85.4000015258789,85.4000015258789,1005,0,0
2009-05-11,0.0,87.8499984741211,85.9000015258789,85.9000015258789,74,0,0
2009-05-12,0.0,86.30000305175781,84.0,85.19999694824219,946,0,0
2009-05-13,0.0,88.19999694824219,88.0,88.0,219,0,0
2009-05-14,0.0,87.0,86.0,87.0,422,0,0
2009-05-15,0.0,88.4000015258789,86.4000015258789,88.0,306,0,0
2009-05-18,0.0,90.0,90.0,90.0,149,0,0
2009-05-19,0.0,107.9000015258789,100.0,102.0,2731,0,0
2009-05-20,0.0,102.0,99.0,102.0,459,0,0
2009-05-21,0.0,100.0,96.0,96.0,619,0,0
2009-05-22,0.0,105.0,96.0,99.5,1035,0,0
2009-05-25,0.0,100.0,98.19999694824219,99.0,630,0,0
2009-05-26,0.0,99.5,98.5,98.5,177,0,0
