Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-12,58.75,62.79999923706055,53.04999923706055,55.95000076293945,251414527,0,0
2019-12-13,55.400001525878906,55.400001525878906,51.099998474121094,52.0,40886357,0,0
2019-12-16,52.0,59.650001525878906,51.25,58.45000076293945,75723164,0,0
2019-12-17,60.349998474121094,61.099998474121094,57.5,58.650001525878906,59177594,0,0
2019-12-18,58.54999923706055,58.900001525878906,56.75,57.79999923706055,16440516,0,0
2019-12-19,57.099998474121094,59.400001525878906,56.650001525878906,59.099998474121094,16846660,0,0
2019-12-20,58.79999923706055,59.70000076293945,57.599998474121094,58.099998474121094,9016461,0,0
2019-12-23,57.75,58.599998474121094,56.20000076293945,56.400001525878906,6044590,0,0
2019-12-24,56.5,56.95000076293945,55.29999923706055,55.54999923706055,5209932,0,0
2019-12-26,55.54999923706055,55.900001525878906,53.20000076293945,53.599998474121094,6485440,0,0
2019-12-27,53.900001525878906,55.400001525878906,53.150001525878906,53.54999923706055,8207009,0,0
2019-12-30,53.400001525878906,54.70000076293945,53.29999923706055,54.04999923706055,5161631,0,0
2019-12-31,54.0,54.79999923706055,53.75,53.849998474121094,2608305,0,0
2020-01-01,53.849998474121094,54.20000076293945,52.900001525878906,53.04999923706055,3369319,0,0
2020-01-02,53.29999923706055,57.25,52.900001525878906,55.599998474121094,10788226,0,0
2020-01-03,55.599998474121094,56.20000076293945,54.650001525878906,54.900001525878906,3802527,0,0
2020-01-06,54.79999923706055,54.79999923706055,53.0,53.20000076293945,2878675,0,0
2020-01-07,53.5,54.29999923706055,53.25,53.599998474121094,2223498,0,0
2020-01-08,52.70000076293945,54.400001525878906,52.099998474121094,54.04999923706055,2992351,0,0
2020-01-09,55.0,55.0,52.900001525878906,53.150001525878906,5424010,0,0
2020-01-10,53.29999923706055,53.75,51.79999923706055,52.20000076293945,4962166,0,0
2020-01-13,52.25,53.0,52.25,52.54999923706055,2490710,0,0
2020-01-14,52.849998474121094,53.5,52.29999923706055,52.54999923706055,2848871,0,0
2020-01-15,52.900001525878906,52.900001525878906,51.599998474121094,51.70000076293945,4121422,0,0
2020-01-16,51.95000076293945,52.95000076293945,51.20000076293945,51.5,3698950,0,0
2020-01-17,51.70000076293945,51.900001525878906,50.29999923706055,50.400001525878906,4884518,0,0
2020-01-20,50.75,50.79999923706055,48.599998474121094,49.04999923706055,4565526,0,0
2020-01-21,49.25,50.599998474121094,48.349998474121094,49.95000076293945,4427125,0,0
2020-01-22,50.79999923706055,52.900001525878906,49.75,51.349998474121094,7374048,0,0
2020-01-23,52.0,54.20000076293945,52.0,53.599998474121094,14228890,0,0
2020-01-24,54.0,55.29999923706055,53.70000076293945,54.79999923706055,6737755,0,0
2020-01-27,55.0,55.95000076293945,54.0,54.599998474121094,4975971,0,0
2020-01-28,54.599998474121094,56.25,54.5,55.04999923706055,5831800,0,0
2020-01-29,55.5,55.75,54.79999923706055,54.900001525878906,2661337,0,0
2020-01-30,54.900001525878906,56.0,53.849998474121094,55.45000076293945,3154683,0,0
2020-01-31,56.099998474121094,56.400001525878906,55.54999923706055,55.79999923706055,3129732,0,0
2020-02-03,53.5,54.25,53.0,53.25,1987363,0,0
2020-02-04,53.900001525878906,54.5,53.400001525878906,54.04999923706055,2223160,0,0
2020-02-05,53.70000076293945,57.79999923706055,53.599998474121094,56.25,6277829,0,0
2020-02-06,56.20000076293945,58.20000076293945,55.79999923706055,56.75,4033152,0,0
2020-02-07,56.849998474121094,56.900001525878906,55.75,55.95000076293945,1442427,0,0
2020-02-10,55.79999923706055,55.95000076293945,54.5,54.95000076293945,1347813,0,0
2020-02-11,55.099998474121094,55.95000076293945,54.099998474121094,54.95000076293945,2048203,0,0
2020-02-12,55.0,55.29999923706055,54.099998474121094,54.29999923706055,1554938,0,0
2020-02-13,54.04999923706055,55.150001525878906,53.599998474121094,54.70000076293945,1947090,0,0
2020-02-14,55.0,55.5,54.099998474121094,54.5,1393438,0,0
2020-02-17,54.0,54.45000076293945,53.20000076293945,53.5,1305086,0,0
2020-02-18,53.04999923706055,53.5,52.20000076293945,52.79999923706055,1124779,0,0
2020-02-19,53.0,53.900001525878906,52.900001525878906,53.04999923706055,2178575,0,0
2020-02-20,52.79999923706055,53.599998474121094,52.45000076293945,53.25,1351336,0,0
2020-02-24,53.0,53.20000076293945,51.5,51.650001525878906,1453779,0,0
2020-02-25,51.650001525878906,52.150001525878906,50.849998474121094,51.150001525878906,1422367,0,0
2020-02-26,51.0,51.25,49.150001525878906,49.849998474121094,2892356,0,0
2020-02-27,50.0,50.0,48.650001525878906,49.54999923706055,1753310,0,0
2020-02-28,48.0,48.79999923706055,47.0,48.400001525878906,2657101,0,0
2020-03-02,50.5,50.900001525878906,48.25,48.70000076293945,2200495,0,0
2020-03-03,48.70000076293945,49.70000076293945,48.0,48.79999923706055,1485021,0,0
2020-03-04,48.75,50.0,46.5,49.099998474121094,2324931,0,0
2020-03-05,49.5,50.20000076293945,48.5,49.849998474121094,1102893,0,0
2020-03-06,46.0,47.0,39.900001525878906,44.400001525878906,3685026,0,0
